JURISDICTION_ID,STATION_ID,modeOriginal,mode,station_link,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms,lat,long,grade,status,year_open,name,line
G53035415,S863120395,Arterial Rapid Transit,Rapid Transit,248 Street-RapidRide I-Arterial Rapid Transit-planned,8989,9985,13640,11236,9985,12993,16908,-122.20233,47.37972,at grade,planned,,248 Street,RapidRide I
G53063000,S910411795,Bus Rapid Transit,Rapid Transit,24th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,4149,4650,5308,6130,4650,5279,6850,-122.30114,47.62012,at grade,proposed,,24th Avenue,Madison RapidRide G
G53035415,S863109796,Arterial Rapid Transit,Rapid Transit,256 Street-RapidRide I-Arterial Rapid Transit-planned,2697,7323,7517,10878,7323,10906,13349,-122.20241,47.37309,at grade,planned,,256 Street,RapidRide I
G53035415,S863121515,Arterial Rapid Transit,Rapid Transit,259 Street-RapidRide I-Arterial Rapid Transit-planned,823,1721,2049,2993,1721,2519,3529,-122.22995,47.37003,at grade,planned,,259 Street,RapidRide I
G53063000,S221290286,Bus Rapid Transit,Rapid Transit,25th Avenue-RapidRide H-Bus Rapid Transit-proposed,2217,3795,5010,6073,3795,4581,7360,-122.36465,47.52101,at grade,proposed,,25th Avenue,RapidRide H
G53035415,S863109703,Arterial Rapid Transit,Rapid Transit,266 Street-RapidRide I-Arterial Rapid Transit-planned,336,376,394,484,376,642,660,-122.22993,47.36341,at grade,planned,,266 Street,RapidRide I
G53063960,S1368175179,Bus Rapid Transit,Rapid Transit,30 Avenue-Stride S3-Bus Rapid Transit-planned,3725,5768,7838,7355,5768,6210,9720,-122.29649,47.7338,at grade,planned,,30 Avenue,Stride S3
G53003180,S156305430,Arterial Rapid Transit,Rapid Transit,30 Street-RapidRide I-Arterial Rapid Transit-planned,962,4672,4836,6548,4672,4978,6842,-122.22203,47.33387,at grade,planned,,30 Street,RapidRide I
G53062288,S2176455098,Bus Rapid Transit,Rapid Transit,32 Avenue S-RapidRide F-Bus Rapid Transit-existing,2371,8488,9937,15007,8488,16364,22691,-122.29153,47.46515,at grade,existing,2014,32 Avenue S,RapidRide F
G53063000,S102634087,Bus Rapid Transit,Rapid Transit,35-RapidRide C-Bus Rapid Transit-existing,5431,7684,13478,10700,7684,8138,16494,-122.37676,47.52107,at grade,existing,2012,35,RapidRide C
